SampleID	total_sequences
GKWWBAA00014	43117400
GKWWBAA00015	22538007
GKWWBAA00017	23375398
GKWWBAA00019	21188967
GKWWBAA00020	14556712
GKWWBAA00021	54491707
GKWWBAA00022	13438650
GKWWBAA00023	14847871
GKWWBAA00029	26726396
GKWWBAA00030	28214946
GKWWBAA00031	20732220
GKWWBAA00032	49983231
GKWWBAA00033	14868274
GKWWBAA00035	32136905
GKWWBAA00036	47280917
GKWWBAA00038	17258322
GKWWBAA00039	10372498
GKWWBAA00040	19572869
GKWWBAA00041	9899594
GKWWBAA00042	30808071
GKWWBAA00043	24830232
GKWWBAA00044	51019943
GKWWBAA00045	37616605
GKWWBAA00046	16138761
GKWWBAA00047	23550694
GKWWBAA00048	25981064
GKWWBAA00049	18952264
GKWWBAA00050	42014011
GKWWBAA00051	37838995
GKWWBAA00052	37194773
GKWWBAA00053	39621763
GKWWBAA00054	16877457
GKWWBAA00055	28786519
GKWWBAA00056	41596159
GKWWBAA00057	16704593
GKWWBAA00058	31111627
GKWWBAA00059	17363405
GKWWBAA00060	39119121
GKWWBAA00061	36747451
GKWWBAA00062	44926939
GKWWBAA00063	16622240
GKWWBAA00064	44329608
GKWWBAA00065	52970334
GKWWBAA00066	10178984
GKWWBAA00067	10461256
GKWWBAA00068	15866586
GKWWBAA00069	8576601
GKWWBAA00071	7661797
GKWWBAA00072	2766393
GKWWBAA00073	17704276
GKWWBAA00074	38680587
GKWWBAA00075	16449640
GKWWBAA00077	39415680
GKWWBAA00078	40598822
GKWWBAA00079	25300983
GKWWBAA00080	8175791
GKWWBAA00081	22401981
GKWWBAA00082	53689063
GKWWBAA00083	42769123
GKWWBAA00084	40371783
GKWWBAA00085	41406786
GKWWBAA00086	16382711
GKWWBAA00087	38275049
GKWWBAA00088	13490872
GKWWBAA00089	36190922
GKWWBAA00090	26607422
GKWWBAA00091	20165888
GKWWBAA00092	24312836
GKWWBAA00093	35913712
GKWWBAA00104	36619573
GKWWBAA00105	13969774
GKWWBAA00106	18300009
GKWWBAA00107	63912293
GKWWBAA00110	16665180
GKWWBAA00111	45132250
GKWWBAA00112	17769266
GKWWBAA00113	18541634
GKWWBAA00114	18123475
GKWWBAA00115	35125684
GKWWBAA00116	34601177
GKWWBAA00117	9811716
GKWWBAA00118	64114238
GKWWBAA00119	9647328
GKWWBAA00120	50440559
GKWWBAA00121	25744320
GKWWBAA00122	30720286
GKWWBAA00123	15724887
GKWWBAA00124	26816400
GKWWBAA00125	41094846
GKWWBAA00126	14597609
GKWWBAA00128	23367783
GKWWBAA00129	42563059
GKWWBAA00130	16535354
GKWWBAA00131	17749187
GKWWBAA00132	14847275
GKWWBAA00133	23597601
GKWWBAA00135	43537140
GKWWBAA00136	23249262
GKWWBAA00137	46037937
GKWWBAA00138	22698885
GKWWBAA00139	37176870
GKWWBAA00140	33244505
GKWWBAA00141	17755704
GKWWBAA00142	28036353
GKWWBAA00143	31715532
GKWWBAA00144	21475767
GKWWBAA00145	15353491
GKWWBAA00146	38463511
GKWWBAA00148	57767564
GKWWBAA00149	18681057
GKWWBAA00150	22623723
GKWWBAA00152	21633530
GKWWBAA00153	30946465
GKWWBAA00154	23291898
GKWWBAA00155	18953885
GKWWBAA00156	7997384
GKWWBAA00157	90385838
GKWWBAA00159	9473793
GKWWBAA00160	24610882
GKWWBAA00161	42928459
GKWWBAA00162	24117144
GKWWBAA00163	32823015
GKWWBAA00164	36995864
GKWWBAA00165	17579344
GKWWBAA00166	16836708
GKWWBAA00167	48577659
GKWWBAA00168	8190769
GKWWBAA00169	25714228
GKWWBAA00170	17148401
GKWWBAA00171	12122954
GKWWBAA00172	11144722
GKWWBAA00173	22040287
GKWWBAA00174	49367626
GKWWBAA00175	8343034
GKWWBAA00176	13513706
GKWWBAA00177	21773999
GKWWBAA00178	68014686
GKWWBAA00179	25637304
GKWWBAA00180	13815374
GKWWBAA00181	20767320
GKWWBAA00182	32616277
GKWWBAA00184	48404071
GKWWBAA00185	17877116
GKWWBAA00186	19286621
GKWWBAA00188	25161998
GKWWBAA00189	19968274
GKWWBAA00190	27941805
GKWWBAA00191	37064000
GKWWBAA00192	18983928
GKWWBAA00193	32554636
GKWWBAA00194	57653771
GKWWBAA00195	16739702
GKWWBAA00198	32468396
GKWWBAA00199	59410898
GKWWBAA00200	12215107
GKWWBAA00201	21629363
GKWWBAA00202	15853694
GKWWBAA00204	57617017
GKWWBAA00205	39323689
GKWWBAA00206	9135445
GKWWBAA00207	43008130
GKWWBAA00208	14798967
GKWWBAA00209	43497616
GKWWBAA00210	16394908
GKWWBAA00211	41344214
GKWWBAA00212	10438470
GKWWBAA00213	63598163
GKWWBAA00214	18330646
GKWWBAA00215	28650582
GKWWBAA00216	10675620
GKWWBAA00217	17631216
GKWWBAA00218	15227207
GKWWBAA00230	22060725
GKWWBAA00231	21914026
GKWWBAA00232	36680005
GKWWBAA00233	11614498
GKWWBAA00239	31187158
GKWWBAA00240	25593997
GKWWBAA00241	19121332
GKWWBAA00242	61181434
GKWWBAA00243	10068587
GKWWBAA00486	39057492
GKWWBAA00487	37138413
GKWWBAA00488	17976866
GKWWBAA00489	35620253
GKWWBAA00490	6456778
GKWWBAA00491	41621449
GKWWBAA00492	46328011
GKWWBAA00493	64278627
GKWWBAA00494	28450386
GKWWBAA00495	22281986
GKWWBAA00496	16988849
GKWWBAA00497	36302551
GKWWBAA00498	42165960
GKWWBAA00499	29644897
GKWWBAA00748	26080340
GKWWBAA00749	26485955
GKWWBAA00750	19601925
GKWWBAA00751	37099609
GKWWBAA00752	24942105
GKWWBAA00753	22234963
GKWWBAA00754	32035500
GKWWBAA00755	23553192
GKWWBAA00756	28967626
GKWWBAA00757	29211989
GKWWBAA00759	51400398
GKWWBAA00760	37537424
GKWWBAA00761	39437631
GKWWBAA00762	19310235
GKWWBAA00763	35672337
GKWWBAA00764	33235482
GKWWBAA00765	24766545
GKWWBAA00766	39728253
GKWWBAA00767	28960104
GKWWBAA00768	56683623
GKWWBAA00769	27238688
GKWWBAA00770	48529802
GKWWBAA00771	27572784
GKWWBAA00772	19223012
GKWWBAA00773	35090959
GKWWBAA00774	27682029
GKWWBAA00775	22062892
GKWWBAA00776	72339466
GKWWBAA00779	24491649
GKWWBAA00864	46816007
GKWWBAA00865	33514425
GKWWBAA00866	24393455
GKWWBAA00867	32344105
GKWWBAA00868	192077169
GKWWBAA00869	107830499
GKWWBAA00872	47385329
GKWWBAA00873	24499455
GKWWBAA00874	23612678
GKWWBAA00875	21914700
GKWWBAA00876	45841654
GKWWBAA00877	36874377
GKWWBAA00878	26879285
GKWWBAA00879	23604642
GKWWBAA00880	34877918
GKWWBAA00881	22941787
GKWWBAA00882	34582024
GKWWBAA00883	29793482
GKWWBAA00884	35242462
GKWWBAA00885	44100374
GKWWBAA00886	20421058
GKWWBAA00887	23789089
GKWWBAA00888	54973986
GKWWBAA00889	15000558
GKWWBAA00890	38414554
GKWWBAA00891	52224964
